title	onet_code	onet_name	job_zone	company	city	state	description_all
Production Supervisor	51-1011.00	First-Line Supervisors of Production and Operating Workers	2	Micro Tech Staffing Group	OCALA	FL	"Production Supervisor (Reports to the Director of Manufactuering)BA/BS Preferred. Minium 3 years of experience in food manufactuering enviroment, managing 80-100 direct reports.Knowledge of SAP, MS Office programs a plus and GMP/SQF requirements.Provides leadership,support and direction. Coordinates production schedule to meet customer needs.Monitor inventory issues.Determine production and staffing needs. Manage and measure shift performance Develop and revise SOP. Train,evaluate, coach and discipline employees."
Part-Time Live Text E-Portfolio Support SpecialistInterAmericanPart Time	39-9021.00	Personal Care Aides	2	Miami Dade College	MIAMI	FL	"Position ID: 829328\\nPosition Type: Part-Time Professional\\nExternal Position: Yes\\nDate Posted: 10/2/2013\\n\\nThe Part-Time Live Text E-Portfolio Support Specialist is responsible for overseeing the E-Portfolio Review process for the School of Education programs.\\n\\n* Reviews E-Portfolios for completeness and readiness for faculty review\\n* Provides one-on-one remediation to students, at 3 campuses, on a rotating schedule\\n* Facilitates LiveText and E-Portfolio workshops for bachelors degree and Educator Preparation Institute students at various campuses\\n* Contacts students to indicate need for E-Portfolio improvement\\n* Monitors student E-portfolio entries on a regular basis\\n* Arranges support systems for students\\n* Reviews processes and procedures for Live Text and suggests improvements\\n* Creates reports related E-Portfolios\\n* Attends job-related meetings\\n* Performs other duties as assigned."
Data/Cable Tech III	49-9052.00	Telecommunications Line Installers and Repairers	2	Nesco	AUSTIN	TX	"URGENT HIRING REQUEST: We are hiring Cable Technicians! Requirements: Must be able to work full time, plus overtime when needed Must be able to pass a pre-employment drug screen Must be able to pass a national background check TECH III / LEAD: Jobs open: 5+ •Proficiency in Cable, Data, Telephony Installations/Trouble shooting •Quick learner; Client-focused ; Results-oriented •Project management from initial plans to job completion •Multi-Task Management - Creative Problem Solving •Specialist in cat 5, cat 6, cat 3, RJ6, RJ11, RJ45, R4J58, RJ59, BNC CONENECTORS, etc. •End terminations/installations of patch panels •Connect and networked modems, routers and switches •Move telephone and T1 lines •Installed/Repaired Data Communications lines and equipment •Strong commitment to company in completing jobs on time and under budget •Excellent Managerial experience in leading a team of installers from initial planning stage through job completion"
WAREHOUSE	43-5081.03	"Stock Clerks- Stockroom, Warehouse, or Storage Yard"	1	Career Staffing Services	LITTLE ROCK	AR	"2nd Shift Position, 4: 30pm Fill customers' orders from stored merchandise in accordance with specifications on order forms. Manually move stock or other materials to and from storage or production areas, loading docks, delivery vehicles, containers, by hand .Sort stock before loading and unloading. Read work orders or receive oral instructions to determine work assignments or material or equipment needs. Temp to hire, full time positions available. Apply today!"
Warehouse Order Puller	43-4151.00	Order Clerks	2	Integral Search Group	WILLOUGHBY	OH	"A company located in Willoughby is looking for an order puller to join their team on 1st shift. This is a very fast paced position and they need someone to keep up with the demand of the operators. Should have computer experience to print out work orders and inventory updates. Need to have experience order pulling, tow motor experience is a plus but not a must and if you have any experience with scanners that is a huge plus. $10.75/hr Apply with resume or call 216-255-3382"
Warehouse/ Order Puller	43-4151.00	Order Clerks	2	Integral Search Group	CLEVELAND	OH	"We have a great opportunity to work with a paper and packaging company that has over 3 decades of success and a reputation of excellence with its customers and employees. In this position you will be moving pallets using an electric ride on pallet jack. Looking for those who like a fast pace work environment. Pay rate starts at $9.50/hr. This 3rd shift position is for those with a clean background who can pass a drug test. Minimum Requirements: Must have ride on electric pallet jack experience Must have experience pulling full case orders Must be able to work at a fast pace Some type of warehouse experience, preferably order pulling Able to work independently Apply to this ad with your resume or call 216-255-3382"
Dietary Aide	29-2051.00	Dietetic Technicians	2	Staffmark	CINCINNATI	OH	Looking for a experienced dietary aide to work for a local hospital.\\n\\nThe perfect candidate will meet all of the requirements listed below.\\n\\nRequirements:\\n-Must be able to work flexible hours -Must have a minimum of 6 months experience -Must have a food handlers permit -Must have a resume reflecting experience to be considered
Steakhouse Bartender	35-3011.00	Bartenders	2	Caesars Entertainment	CINCINNATI	OH	"Caesars Entertainment, Inc. is an Equal Employment Opportunity employer. All qualified applicants will receive consideration for employment without regard to race, national origin, gender, age, religion, disability, sexual orientation, veteran status, or marital status.\\n\\nAs part of Caesars Entertainment’s employment process, finalist candidates will be required to complete a background check, prior to an offer being extended.  These background checks include:\\n\\n* Prior Employment Verification\\n* Education Verification\\n* Social Security Trace\\n* Criminal Background Check\\n* Drug Screen\\n* Motor Vehicles Records (where required for position)\\nFor a listing of all opportunities at Caesars Entertainment, please go to www.caesarsjobs.com"
Manufacturing/Foundry	51-4071.00	Foundry Mold and Coremakers	2	Doherty Staffing Solutions (St. Cloud)	SAINT CLOUD	MN	"Doherty Staffing Solutions, along with our client company Grede LLC., has immediate openings for trial for hire laberor positions in St. Cloud, MN. The Foundry General Labor positions are on second shift from 2:00pm - 10:00pm, at $14.00/hour, and on third shift from 10:00pm - 6:00am, at $14.00/hour. Foundry General Labor Responsibilities: Set cores Drill vents Operate machines to remove loose sand Perform visual inspection of molds and cores Recording production activity To submit yourself as a candidate for the Foundry General Labor, or to inquire about the Foundry position, please contact Doherty in St. Cloud at 320-253-4473. You can also email your resume directly to hwieneke@dohertystaffing.com Doherty Staffing is an equal opportunity employer. Foundry General Labor Requirements: Lifting 75lbs occasionally Wearing a helmet, gloves, and an apron Working in a dirty, hot work environment Experience in metal fabrication, welding, and power hand tools is a plus"
General Office Administrator	43-9061.00	"Office Clerks, General"	2	Kforce Technology	ALPHARETTA	GA	"Our client is seeking a General Office Administrator in Alpharetta, Georgia (GA). Duties: * Sort, file, scan, and retrieve written and electronic materials as instructed * Prepare correspondences, tables, charts, reports and other materials as instructed * Answer telephones and take messages and open and distribute mail * Photocopy materials * Maintain records and logs. Perform other general office activities"
Concrete Workers	47-2051.00	Cement Masons and Concrete Finishers	2	Trillium Staffing	MC FARLAND	WI	"Now hiring Concrete workers in the Madison, WI area!! We are currently seeking Concrete Workers for a project in the Madison, WI area. This position will be responsible for tying rebar and wall forms. There is currently full time, long term work available! If you are interested in this position and have previous experience, please contact us today!"
